state,alpha,predicted,actual,correct,pred_temp
Awake Report,2.428162979791862,True,True,True,True
Awake Report,2.368516239108508,True,True,True,True
Awake Report,2.418343033422202,True,True,True,True
Awake Report,2.494615483436006,True,True,True,True
Awake Report,2.3109017618693684,True,True,True,True
Awake Report,2.3415198024737602,True,True,True,True
Awake Report,2.409260971071657,True,True,True,True
Awake Report,2.4909146578846544,True,True,True,True
Awake Report,2.5819187565595407,True,True,True,True
Awake Report,2.4112164328022057,True,True,True,True
Awake Report,2.436818200381043,True,True,True,True
Awake Report,2.4042656608602972,True,True,True,True
Awake Report,2.392809529731465,True,True,True,True
Awake Report,2.4524886671311372,True,True,True,True
Awake Report,2.403282382191016,True,True,True,True
Awake Report,2.5042375504776953,True,True,True,True
Awake No-Report,1.9446435770508155,False,False,True,True
Awake No-Report,2.009829512797734,True,False,False,True
Awake No-Report,2.0472348595124314,True,False,False,True
Awake No-Report,2.0204999421709444,True,False,False,True
Awake No-Report,1.9014640549462225,False,False,True,True
Awake No-Report,1.9966103458055124,False,False,True,True
Awake No-Report,2.017479992008127,True,False,False,True
Awake No-Report,1.9452675055773245,False,False,True,True
Awake No-Report,2.0800949389550345,True,False,False,True
Awake No-Report,1.949068222656546,False,False,True,True
Awake No-Report,1.9192491831049803,False,False,True,True
Awake No-Report,1.9113758729028738,False,False,True,True
Awake No-Report,1.9837037008263483,False,False,True,True
Awake No-Report,2.019128861391514,True,False,False,True
Awake No-Report,1.9446979748091637,False,False,True,True
Awake No-Report,2.0442530992009926,True,False,False,True
REM Sleep,2.456806891224592,True,True,True,True
REM Sleep,2.235949251584659,True,True,True,True
REM Sleep,2.35618531724794,True,True,True,True
REM Sleep,2.4145796469518617,True,True,True,True
REM Sleep,2.256887779527456,True,True,True,True
REM Sleep,2.2020559577018304,True,True,True,True
REM Sleep,2.348680341459225,True,True,True,True
REM Sleep,2.334107127378084,True,True,True,True
REM Sleep,2.2477054626882604,True,True,True,True
REM Sleep,2.343761752170725,True,True,True,True
REM Sleep,2.3290572652882884,True,True,True,True
REM Sleep,2.2880656340197763,True,True,True,True
REM Sleep,2.3484029795063175,True,True,True,True
REM Sleep,2.27877860710839,True,True,True,True
REM Sleep,2.3464583044579497,True,True,True,True
REM Sleep,2.1004109724050726,True,True,True,True
NREM Sleep,1.6647222464885354,False,False,True,True
NREM Sleep,1.7059047421133602,False,False,True,True
NREM Sleep,1.6091847302193791,False,False,True,True
NREM Sleep,1.6804162448779416,False,False,True,True
NREM Sleep,1.6517697611139663,False,False,True,True
NREM Sleep,1.7039915990548777,False,False,True,True
NREM Sleep,1.5961776707297726,False,False,True,True
NREM Sleep,1.5950920329801233,False,False,True,True
NREM Sleep,1.6104525272338224,False,False,True,True
NREM Sleep,1.619526766944922,False,False,True,True
NREM Sleep,1.6089141145853345,False,False,True,True
NREM Sleep,1.693354719793509,False,False,True,True
NREM Sleep,1.849655069482601,False,False,True,True
NREM Sleep,1.7685569109843835,False,False,True,True
NREM Sleep,1.5713954317497922,False,False,True,True
NREM Sleep,1.8008510624556804,False,False,True,True
Light Sedation,2.0931455408275403,True,True,True,True
Light Sedation,2.0307877312951788,True,True,True,True
Light Sedation,1.950918547696828,False,True,False,True
Light Sedation,2.1690894650468033,True,True,True,True
Light Sedation,1.9623820136109216,False,True,False,True
Light Sedation,2.013354329491916,True,True,True,True
Light Sedation,2.1743928058220274,True,True,True,True
Light Sedation,2.0655153400939383,True,True,True,True
Light Sedation,2.0982346547259936,True,True,True,True
Light Sedation,2.040124064416805,True,True,True,True
Light Sedation,2.0277382320037165,True,True,True,True
Light Sedation,2.0503520607808627,True,True,True,True
Light Sedation,2.1473145234103206,True,True,True,True
Light Sedation,2.0433491549021316,True,True,True,True
Light Sedation,2.0932709972584105,True,True,True,True
Light Sedation,1.9378212194694728,False,True,False,True
Deep Anesthesia,1.6025419846110553,False,False,True,True
Deep Anesthesia,1.5893617811013359,False,False,True,True
Deep Anesthesia,1.57088443060508,False,False,True,True
Deep Anesthesia,1.65654841864367,False,False,True,True
Deep Anesthesia,1.681215806514401,False,False,True,True
Deep Anesthesia,1.6453083434010725,False,False,True,True
Deep Anesthesia,1.5736895427361657,False,False,True,True
Deep Anesthesia,1.5800638521752015,False,False,True,True
Deep Anesthesia,1.5798181532415685,False,False,True,True
Deep Anesthesia,1.635988248325058,False,False,True,True
Deep Anesthesia,1.4810378636008117,False,False,True,True
Deep Anesthesia,1.431260425423265,False,False,True,True
Deep Anesthesia,1.651373716254871,False,False,True,True
Deep Anesthesia,1.4402138947940277,False,False,True,True
Deep Anesthesia,1.3953958119336591,False,False,True,True
Deep Anesthesia,1.6792111276520185,False,False,True,True
