sample_idx,class,beta,alpha,r_squared
0,4,2.0373622869712604,0.9816614417523144,0.5484892229164617
1,1,2.5532354219071376,0.7833198548162477,0.8161467714743662
2,5,2.0037133205617508,0.9981467805181283,0.5990250947814624
3,5,1.8237736889194838,1.0966272910675248,0.6391748000355093
4,5,1.0605125355827618,1.885880584052673,0.29531759416673575
5,5,2.1805639901529883,0.9171939044355585,0.5604741361827562
6,4,2.191009434779272,0.9128212632281455,0.4475262934656027
7,2,3.3766631682616506,0.5923007123715054,0.9442099827661767
8,1,3.029734675938746,0.6601238108021164,0.8659710292892057
9,4,2.2210874055113554,0.9004598355910018,0.5244605906625155
10,5,1.3889618402946846,1.439924367955045,0.49722348104200775
11,1,3.695229623600126,0.5412383542356087,0.8087255358097457
12,3,2.267252918667744,0.8821247879020113,0.9546078831420655
13,4,2.285421234823028,0.8751121979291797,0.4766546884175136
14,2,3.506645956436755,0.5703455737608256,0.8775762349738706
15,3,3.459654878078026,0.5780923446072397,0.903311028910362
16,2,3.103585968716855,0.6444158531967068,0.9356012666651631
17,3,3.465815147671962,0.5770648216317679,0.8240262558934086
18,4,2.319701046999483,0.8621800652230536,0.6355040986460477
19,2,4.302117659084535,0.46488733188798653,0.8926947531231413
20,1,3.848352219352186,0.5197029497306956,0.7961324950054811
21,2,2.1954285955551844,0.9109838525603408,0.8036444134755845
22,1,2.641887415637894,0.7570345307531178,0.8084756339702114
23,1,3.2428070683092964,0.6167496116390115,0.8098582821915958
24,1,2.1542295688308823,0.9284061591845181,0.5863317665454912
25,3,2.5980856966550934,0.7697975484699757,0.9368166148669067
26,5,2.032380336309782,0.9840677772111418,0.8027546640075078
27,1,3.5518422677438917,0.5630880678917051,0.6684210267311737
28,2,2.5646284398129517,0.7798400614109495,0.9079828730031605
29,2,2.2569609899016694,0.886147349887131,0.9125564330664605
30,1,3.7644821266836073,0.5312815767734667,0.826502454913486
31,2,2.8816572736111534,0.6940450616091819,0.8908344449917586
32,4,2.4321915310855893,0.822303660891096,0.7179098173494367
33,5,2.2222167668044515,0.9000022094496212,0.7018437844402456
34,5,2.136794304786912,0.9359815287412265,0.8251492257481324
35,3,2.2129844358819386,0.9037569210028998,0.8343713826598074
36,4,1.7469913224637743,1.1448253773690236,0.6620006890848974
37,3,2.73516722170115,0.7312167183533629,0.9161066456565201
38,5,2.468125559297747,0.8103315459238865,0.7186622749301594
39,3,3.17849039161715,0.6292295252094318,0.924427344714509
40,5,2.0090219025948715,0.9955093060044697,0.7498329516333189
41,2,2.7962412874625993,0.7152458584197737,0.861671520799444
42,1,1.4833096648074369,1.3483361212101586,0.3429434417420071
43,4,1.8419459990601885,1.0858081621396365,0.48587853301245165
44,3,3.000721882070665,0.6665062870204715,0.9123955353082658
45,2,2.4444791051929613,0.8181702170213988,0.6974312826685523
46,4,2.2743750505608027,0.8793624426661079,0.6547520893752599
47,2,2.2260224078727027,0.8984635522655403,0.7388461936714521
48,5,1.869632719528045,1.0697288184520346,0.6598350510868272
49,3,2.462624071162612,0.8121418219776412,0.8980971913737364
50,5,1.7228176082502529,1.1608889939494305,0.5510839516395643
51,3,2.252135605778853,0.8880459928203759,0.8572890389022224
52,1,2.048972750341548,0.9760988767013203,0.5779727968768499
53,3,3.543043630264304,0.5644864158364328,0.9462374072374935
54,3,3.206356111325329,0.623761032948181,0.8703866317448983
55,5,1.7702767748633215,1.1297668412073105,0.7316994255367467
56,3,1.668399202153866,1.198753869828063,0.7560823293653864
57,5,2.467266488844015,0.8106136929444769,0.7852752486369989
58,1,1.949048122653609,1.026141928849361,0.6945036562176365
59,3,2.612865613526322,0.7654431171838192,0.8615012275585319
60,3,3.1343723332456177,0.6380862856612238,0.8731199720027686
61,3,3.2705075982334,0.6115258686695367,0.9183084982482228
62,4,2.216820688065098,0.9021929517202651,0.6211453982795687
63,5,2.4464127447005164,0.8175235369961396,0.7642778475573669
64,5,1.5748792418072555,1.2699386384094418,0.6857687033770253
65,1,3.6241058725043818,0.5518602574979221,0.7687395928269963
66,4,2.220704653060486,0.9006150355220268,0.5600012591700999
67,2,2.3256667919705345,0.8599684214888765,0.7849731208754898
68,1,2.1336810501218837,0.9373472196726651,0.7915424607870529
69,3,3.9164440258299167,0.5106673264853284,0.9673945741931087
70,4,2.3813700939055864,0.8398526567199317,0.5164290846149117
71,3,1.9110958605571724,1.0465199790746802,0.7274447065660563
72,4,2.086471419676689,0.9585561446654811,0.4924992592145404
73,4,1.771932586830993,1.1287111117341622,0.5304935299375627
74,3,1.8216312447719794,1.0979170486562158,0.7151706507172444
75,3,3.920232163196471,0.5101738664296974,0.9543060362616157
76,4,2.712880401552786,0.7372238005240663,0.6284583176696974
77,4,1.3246532173463856,1.509829118904421,0.41131648708549584
78,4,1.507886832925245,1.3263594829063354,0.3845228668487455
79,4,2.280171979061166,0.8771268212950658,0.7858212319981133
80,4,2.2089994272110296,0.9053872877301278,0.6534016457458617
81,1,2.8681432229660637,0.6973152470160533,0.8297115719102097
82,1,1.8969360622568887,1.05433179314462,0.6617584735239774
83,2,3.1550079701182745,0.6339128201711086,0.9253218400895669
84,2,1.8208389419046338,1.0983947860363532,0.6694443591120344
85,5,1.9651377363040643,1.017740366515735,0.721143745617498
86,1,2.871530104135804,0.6964927851947094,0.7006037318217035
87,4,2.099062912068507,0.9528061252957464,0.7441712841762026
88,3,2.5400873334601646,0.7873745023071922,0.9232185517162138
89,4,2.1961687128284932,0.9106768475105707,0.4063930331883513
90,2,2.88587456099919,0.6930308153475425,0.8413575738165409
91,4,2.239342917665313,0.893119130715877,0.37824638496402296
92,3,2.893758484377245,0.6911426820163302,0.9179489974484218
93,5,1.3629688096890122,1.4673850096806975,0.5263095840486232
94,2,2.766693565802291,0.7228845379629298,0.8905884804697357
95,3,2.674587724483812,0.7477788003330474,0.8619369208708142
96,4,1.9805509771614687,1.009820006181515,0.5958576460284615
97,3,2.5940061240323087,0.7710082028993274,0.799703637018484
98,5,1.9683409555660374,1.0160841262508091,0.5428060091915208
99,4,2.231558941680349,0.896234449668631,0.5107411236383428
100,1,2.8148039742795636,0.7105290522093607,0.6766712336211604
101,4,1.406318446528759,1.4221530016452786,0.6473465106995526
102,4,2.205517710219955,0.906816567707607,0.575598252591021
103,2,3.599350477974285,0.5556558085239869,0.8858617739420767
104,5,1.8630310712461613,1.0735194011886349,0.7320450335195068
105,1,1.7822765902843043,1.1221602813517093,0.5719740896085328
106,3,2.353581643080343,0.8497686943982198,0.863815977867205
107,4,2.221930557833663,0.9001181395830657,0.5391996373720265
108,3,3.2883075689116916,0.6082156118571129,0.9322624007045881
109,3,3.7611380092357436,0.5317539518860667,0.9230215267988459
110,3,2.647439512788113,0.7554469102463944,0.9351294093670224
111,4,1.3168702385383038,1.5187525250930987,0.599182400669154
112,2,2.841563392809532,0.7038378960894992,0.8845966404145845
113,1,2.2562680588560675,0.8864194979624912,0.5972877964856063
114,4,1.8606243476985798,1.0749080019692396,0.6978849526221573
115,2,2.6015980680521302,0.7687582584566728,0.8077012350144867
116,2,3.0486878321154847,0.6560199371452865,0.9407246423635851
117,2,2.5004033767102443,0.7998709402765964,0.7958355839928519
118,2,3.3216433774313927,0.6021115974065188,0.9385695083086312
119,2,2.7936771549877473,0.7159023355398315,0.9621602064605964
120,3,3.0934059336187945,0.6465365499769108,0.9049810516603185
121,3,2.226901213985063,0.8981089899452609,0.9253822579641316
122,4,2.6167331319721865,0.7643117960953988,0.6784888538641292
123,1,3.622499858687094,0.5521049214684751,0.777342856137928
124,2,3.8365887522895368,0.521296424800931,0.9047749111414478
125,2,2.04903138837495,0.9760709432500028,0.712418734658677
126,5,0.8334109063139005,2.3997766106107434,0.49031773675108503
127,5,1.9796357392996375,1.010286872628177,0.6020511126605606
128,2,2.448502258429832,0.8168258751301106,0.8946257915148731
129,3,2.7039249489966717,0.7396655002359172,0.9439222328827288
130,2,3.4213395716015493,0.5845663542434603,0.9136185669943389
131,1,2.2032924963692695,0.9077324065214817,0.6639233399355249
132,3,3.6838034262298223,0.5429171344375707,0.9096871880884957
133,5,1.0209520348983205,1.9589558878730142,0.20143493438347537
134,3,3.1049200529706056,0.6441389684370511,0.9666891433420634
135,1,1.9489622111218083,1.0261871618582152,0.6739984918874707
136,2,3.7719384696301215,0.53023134287663,0.9244285706299766
137,3,2.831556620413365,0.7063252719657889,0.8995949173229131
138,3,2.7212934292815936,0.7349446327542815,0.9144183708268657
139,3,2.7143120169015185,0.7368349650100542,0.9510135108357277
140,3,3.768477431590434,0.5307183169612157,0.9418039907713874
141,1,2.4254060563617323,0.8246041914318177,0.7058601502859843
142,5,1.6326347609137497,1.2250137311058134,0.5825690329846762
143,3,2.6488837036267268,0.7550350350457795,0.9377407573855345
144,1,2.5432708084276925,0.7863889261704086,0.6664174262301324
145,3,2.506162185707147,0.7980329491068724,0.8899145572228809
146,3,1.774468241963583,1.1270982217111132,0.8076919631655899
147,3,2.464434421604245,0.8115452302025884,0.9482215403581232
148,2,2.2924345375617627,0.8724349451335711,0.871962075583512
149,1,1.7628274827114851,1.1345409687644017,0.5553558044204248
150,5,1.4811021689444337,1.3503457370705083,0.5996331170106433
151,3,2.876702784414452,0.6952404019058565,0.9173116013429529
152,5,1.722249375266729,1.1612720136363848,0.8179723164082748
153,3,1.9099265668990977,1.0471606786679464,0.8850044856648831
154,2,3.32586145259876,0.6013479600712895,0.9445113000361268
155,2,2.893453432654494,0.6912155479776194,0.937432076568332
156,1,3.5338325216962936,0.565957777489684,0.7799136668315756
157,4,2.1318810441277782,0.9381386477960195,0.7721429363243697
158,4,2.1876002100576875,0.9142438324904255,0.5869155345659781
159,1,2.6094493539010433,0.766445226081918,0.7939657948666214
160,1,2.260479173841818,0.8847681602838577,0.6976279226889165
161,5,1.678668007319762,1.1914208117859417,0.7132930060002216
162,4,2.1547182570366195,0.9281955974840983,0.7873120243085766
163,4,2.3359962977369575,0.8561657404755048,0.7047577612130225
164,1,2.9444236002595576,0.6792500915369974,0.7803170994392714
165,1,2.521447700192613,0.7931951155866609,0.808364807785012
166,5,1.8181808448171075,1.1000005888859652,0.8003327001203181
167,4,1.4719285251888283,1.3587616285535518,0.5278339831438907
168,5,0.9229968449418638,2.1668546441520853,0.36058345159587313
169,1,2.559565044071459,0.7813827605719416,0.6832113524023609
170,4,2.564241623362622,0.7799577004671256,0.487988776871661
171,1,2.5282487293102043,0.7910614081651969,0.787340037592734
