layer,L,T,log_L,log_T,alpha_true,c_true
0,10.0,208.8577244405206,1.0,2.3198505419418534,2.3,1.0
0,10.0,170.70690805295402,1.0,2.2322510962089,2.3,1.0
0,10.0,223.2993824448662,1.0,2.348887521991466,2.3,1.0
0,10.0,229.75888233178134,1.0,2.36127230993024,2.3,1.0
0,10.0,148.90230735712905,1.0,2.1729014275352854,2.3,1.0
0,10.0,164.12343347275578,1.0,2.2151705938583293,2.3,1.0
0,10.0,203.38927922047176,1.0,2.3083280572489757,2.3,1.0
0,10.0,190.2824077176352,1.0,2.27939863808036,2.3,1.0
0,10.0,199.0240238416939,1.0,2.298905502500945,2.3,1.0
0,10.0,175.5614501193409,1.0,2.2444291594150574,2.3,1.0
0,10.0,227.66048314481245,1.0,2.357287653181973,2.3,1.0
0,10.0,224.2170384041284,1.0,2.350668611843846,2.3,1.0
0,10.0,201.5122792065765,1.0,2.3043015151380586,2.3,1.0
0,10.0,236.2833912312583,1.0,2.3734331953940266,2.3,1.0
0,10.0,214.02056643148694,1.0,2.3304555091367423,2.3,1.0
0,10.0,175.39697692211232,1.0,2.244022103754313,2.3,1.0
0,10.0,210.87347973011848,1.0,2.324021964608679,2.3,1.0
0,10.0,172.79627920539687,1.0,2.237534386650039,2.3,1.0
0,10.0,227.6281232719334,1.0,2.3572259177725994,2.3,1.0
0,10.0,198.03758328215434,1.0,2.2967476178532014,2.3,1.0
0,10.0,194.06950330379905,1.0,2.2879572943401048,2.3,1.0
0,10.0,180.15296259680468,1.0,2.255641408445071,2.3,1.0
0,10.0,239.68532439659717,1.0,2.379641443592712,2.3,1.0
0,10.0,194.95451824228886,1.0,2.2899333047969224,2.3,1.0
0,10.0,187.1099740582664,1.0,2.2720969385583385,2.3,1.0
0,10.0,189.2607476225711,1.0,2.277060551319494,2.3,1.0
0,10.0,216.11098425457004,1.0,2.334676841292835,2.3,1.0
0,10.0,210.76891074176018,1.0,2.323806551089642,2.3,1.0
0,10.0,212.2692690217806,1.0,2.3268871243576483,2.3,1.0
0,10.0,212.84599251140534,1.0,2.328065477644152,2.3,1.0
0,10.0,275.11600745805464,1.0,2.4395158602859066,2.3,1.0
0,10.0,187.72600159864623,1.0,2.273524430153231,2.3,1.0
0,10.0,184.76953736578753,1.0,2.266630371405375,2.3,1.0
0,10.0,176.59867841518297,1.0,2.2469874491897888,2.3,1.0
0,10.0,218.84038473790972,1.0,2.340127469628573,2.3,1.0
0,10.0,236.3447532194579,1.0,2.3735459655425517,2.3,1.0
0,10.0,196.14488498125323,1.0,2.2925769871870374,2.3,1.0
0,10.0,175.90115929008104,1.0,2.2452687017179844,2.3,1.0
0,10.0,176.3152404060035,1.0,2.2462898536388614,2.3,1.0
0,10.0,219.97955980529045,1.0,2.342382328657748,2.3,1.0
0,10.0,223.05844884624932,1.0,2.3484186777807845,2.3,1.0
0,10.0,216.46283158916034,1.0,2.3353833352320716,2.3,1.0
0,10.0,180.57013426562014,1.0,2.256645920970721,2.3,1.0
0,10.0,206.59697450166928,1.0,2.315123957227885,2.3,1.0
0,10.0,203.04925503631958,1.0,2.307601400453935,2.3,1.0
0,10.0,206.17988242123255,1.0,2.3142462876221863,2.3,1.0
0,10.0,227.38850505274243,1.0,2.3567685064451886,2.3,1.0
0,10.0,206.331695504216,1.0,2.314565946951646,2.3,1.0
0,10.0,220.91604629953062,1.0,2.3442272621197096,2.3,1.0
0,10.0,201.55908703549153,1.0,2.304402382545677,2.3,1.0
0,13.949507939624207,448.04319678131213,1.144558888407109,2.651319887255687,2.3,1.0
0,13.949507939624207,471.6395238878717,1.144558888407109,2.673610192282176,2.3,1.0
0,13.949507939624207,344.7944237954378,1.144558888407109,2.5375602335608716,2.3,1.0
0,13.949507939624207,408.94106769531464,1.144558888407109,2.611660726543259,2.3,1.0
0,13.949507939624207,399.8005673725277,1.144558888407109,2.601843406106718,2.3,1.0
