beta,V,Force
-0.5,1.1051709180756477,0.2210341834119056
-0.48997995991983967,1.1018657817080844,0.43838062836476505
-0.47995991983967934,1.096392979402179,0.6535585403977251
-0.46993987975951906,1.0887784796615148,0.865723950127517
-0.45991983967935873,1.0790566336520155,1.0740481905857635
-0.4498997995991984,1.0672700056765756,1.277721116255126
-0.43987975951903807,1.0534691718165592,1.4759542359632503
-0.42985971943887774,1.0377124876645674,1.6679837474331547
-0.41983967935871747,1.020065826191527,1.8530734619326414
-0.40981963927855714,1.0006022869051978,2.03051760806483
-0.3997995991983968,0.9794018775662223,2.1996435038307283
-0.3897795591182365,0.9565511698313867,2.3598140869329765
-0.37975951903807614,0.9321429302915101,2.510430294289101
-0.3697394789579158,0.9062757284628968,2.6509332812452158
-0.3597194388777555,0.8790535233762815,2.7808064728240818
-0.3496993987975952,0.8505852304853463,2.8995774395967895
-0.3396793587174349,0.8209842706878961,3.0068195911114866
-0.32965931863727455,0.7903681033164232,3.1021536811448587
-0.31963927855711427,0.758857745010807,3.185249119647126
-0.30961923847695394,0.726577276434148,3.2558250866177025
-0.2995991983967936,0.693653338832992,3.3136514447196226
-0.2895791583166333,0.6602146224754126,3.35854944749081
-0.27955911823647295,0.6263913490244304,3.39039224138693
-0.2695390781563126,0.5923147499200236,3.409105160268044
-0.2595190380761523,0.5581165428504922,3.414665812245809
-0.249498997995992,0.5239284083931808,3.4071039592631354
-0.23947895791583168,0.48988146889556944,3.386501190572044
-0.22945891783567135,0.4561057716505969,3.3529903926104994
-0.21943887775551102,0.422729778394857,3.306755017570828
-0.2094188376753507,0.3898798631251746,3.2480281551311436
-0.1993987975951904,0.35767982018815314,3.1770914111328703
-0.18937875751503008,0.32625038454880323,3.0942735988526144
-0.17935871743486975,0.29570876608852653,2.9999492484944486
-0.16933867735470942,0.26616819971979494,2.894536941863701
-0.1593186372745491,0.23773751303510537,2.7784974791361656
-0.14929859719438882,0.21052071313151152,2.6523318859911216
-0.13927855711422849,0.18461659416956283,2.51657926938903
-0.12925851703406815,0.16011836713717273,2.3718145312184857
-0.11923847695390782,0.13711331319515271,2.218645949395026
-0.1092184368737475,0.11568246188230207,2.0577126365557694
-0.09919839679358722,0.09590029535442213,1.8896818867582263
-0.08917835671342689,0.07783447972387249,1.7152464213562866
-0.07915831663326656,0.061545624454747885,1.5351215451611664
-0.06913827655310623,0.047087070653871674,1.350042224622025
-0.059118236472945895,0.034504708980063636,1.1607600998386758
-0.049098196392785565,0.02383682777400497,0.968040442544775
-0.03907815631262529,0.015113991888988062,0.7726590722886838
-0.02905811623246496,0.008358952579389354,0.5753992431966302
-0.019038076152304628,0.003586588679337109,0.37704851376444115
-0.009018036072144298,0.0008038791792532903,0.17839561212505792
0.0010020040080159776,9.907183233435388e-06,-0.019772690769640687
0.011022044088176308,0.0011958951060757439,-0.21667468771472112
0.02104208416833664,0.00434527084567547,-0.4115368093469181
0.03106212424849697,0.009433764544943242,-0.6035966537300437
0.0410821643286573,0.016429535437862484,-0.7921059596158879
0.05110220440881763,0.0252933281572361,-0.9763335118361318
0.06112224448897796,0.035978657767539744,-1.155567967599247
0.07114228456913829,0.04843202267553869,-1.3291205928165488
0.08116232464929862,0.06259314446436205,-1.4963278979866765
0.09118236472945884,0.07839523359396976,-1.656554163614876
0.10120240480961917,0.0957652798127867,-1.8091938455831733
0.1112224448897795,0.11462436603207818,-1.9536738514860927
0.12124248496993983,0.13488800432676346,-2.089455679359087
0.13126252505010017,0.15646649264411833,-2.2160374109903014
0.1412825651302605,0.17926529072552386,-2.332955552349081
0.15130260521042083,0.20318541367634183,-2.439786714666936
0.16132264529058116,0.22812384155539997,-2.536149129926668
0.1713426853707415,0.25397394329867007,-2.6217039956616395
0.18136272545090182,0.28062591324172187,-2.696156644149683
0.19138276553106215,0.3079672184626088,-2.759257532347625
0.20140280561122237,0.335883055131118,-2.810803049207999
0.2114228456913827,0.364256812021928,-2.850636137910478
0.22144288577154303,0.3929705393282222,-2.8786467313579585
0.23146292585170336,0.4219054208987873,-2.894771999917278
0.2414829659318637,0.4509422480155732,-2.8989964111936213
0.251503006012024,0.47996189283013097,-2.891351602318792
0.26152304609218435,0.5088457795862207,-2.871916066027324
0.2715430861723447,0.5374763517721326,-2.840814652527168
0.281563126252505,0.5657375333698084,-2.7982178899266237
0.29158316633266534,0.5935151823985413,-2.744341126392768
0.30160320641282556,0.6206975349887507,-2.6794434985100146
0.3116232464929859,0.6471756382658692,-2.6038267303296614
0.3216432865731462,0.672843770375548,-2.517833768644895
0.33166332665330656,0.6975998460389756,-2.421847260591914
0.3416833667334669,0.7213458060908141,-2.3162878801552544
0.3517034068136272,0.7439879895218602,-2.2016125108492712
0.36172344689378755,0.7654374866236996,-2.0783122923473396
0.3717434869739479,0.7856104719130413,-1.9469105392244666
0.3817635270541082,0.8044285155987547,-1.8079605409171415
0.39178356713426854,0.8218188724445028,-1.6620432514713455
0.40180360721442887,0.8377147469739537,-1.5097648793760408
0.4118236472945891,0.8520555340633897,-1.351754386763604
0.4218436873747494,0.8647870340677956,-1.1886609087796707
0.43186372745490975,0.8758616417307247,-1.0211511033253462
0.4418837675350701,0.8852385082350215,-0.8499064419520418
0.4519038076152304,0.8928836758603621,-0.675620453155501
0.46192384769539074,0.8987701848241559,-0.49899592876601057
0.4719438877755511,0.9028781519941473,-0.3207421049977732
0.4819639278557114,0.9051948212736521,-0.14157182912644117
0.49198396793587174,0.9057145855732904,0.03780127663111088
0.502004008016032,0.9044389803958967,0.21666564309352762
0.5120240480961924,0.9013766491735455,0.3943145626628119
0.5220440881763526,0.8965432806068989,0.5700489672411102
0.5320641282565131,0.8899615183669017,0.7431801649193658
0.5420841683366733,0.8816608436268198,0.9130325246964331
0.5521042084168337,0.8716774309982858,1.0789460985982657
0.5621242484969939,0.8600539785480109,1.2402791713161943
0.5721442885771542,0.8468395126717044,1.3964107275166169
0.5821643286573146,0.8320891686981723,1.5467428272852854
0.5921843687374748,0.8158639481891397,1.6907028806911748
0.6022044088176353,0.7982304539887273,1.8277458129711819
0.6122244488977955,0.7792606041603822,1.9573561121810632
0.6222444889779559,0.7590313260280686,2.0790497514744377
0.6322645290581161,0.7376242316124344,2.1923759791708797
