state,alpha,predicted,actual,correct,pred_temp
Awake Report,0.7081629797918618,True,True,True,False
Awake Report,0.6485162391085081,True,True,True,False
Awake Report,0.6983430334222023,True,True,True,False
Awake Report,0.774615483436006,True,True,True,False
Awake Report,0.5909017618693683,True,True,True,False
Awake Report,0.6215198024737605,True,True,True,False
Awake Report,0.689260971071657,True,True,True,False
Awake Report,0.7709146578846545,True,True,True,False
Awake Report,0.8619187565595408,True,True,True,True
Awake Report,0.6912164328022055,True,True,True,False
Awake Report,0.7168182003810428,True,True,True,False
Awake Report,0.6842656608602973,True,True,True,False
Awake Report,0.6728095297314651,True,True,True,False
Awake Report,0.7324886671311371,True,True,True,False
Awake Report,0.6832823821910161,True,True,True,False
Awake Report,0.7842375504776953,True,True,True,False
Awake No-Report,0.4646435770508156,False,False,True,False
Awake No-Report,0.5298295127977339,True,False,False,False
Awake No-Report,0.5672348595124317,True,False,False,False
Awake No-Report,0.5404999421709445,True,False,False,False
Awake No-Report,0.42146405494622247,False,False,True,False
Awake No-Report,0.5166103458055125,True,False,False,False
Awake No-Report,0.5374799920081268,True,False,False,False
Awake No-Report,0.46526750557732466,False,False,True,False
Awake No-Report,0.6000949389550344,True,False,False,False
Awake No-Report,0.46906822265654596,False,False,True,False
Awake No-Report,0.4392491831049804,False,False,True,False
Awake No-Report,0.4313758729028737,False,False,True,False
Awake No-Report,0.5037037008263483,True,False,False,False
Awake No-Report,0.5391288613915137,True,False,False,False
Awake No-Report,0.4646979748091638,False,False,True,False
Awake No-Report,0.5642530992009925,True,False,False,False
REM Sleep,0.8068068912245923,True,True,True,True
REM Sleep,0.585949251584659,True,True,True,False
REM Sleep,0.7061853172479402,True,True,True,False
REM Sleep,0.7645796469518619,True,True,True,False
REM Sleep,0.6068877795274561,True,True,True,False
REM Sleep,0.5520559577018306,True,True,True,False
REM Sleep,0.6986803414592255,True,True,True,False
REM Sleep,0.6841071273780842,True,True,True,False
REM Sleep,0.5977054626882605,True,True,True,False
REM Sleep,0.6937617521707251,True,True,True,False
REM Sleep,0.6790572652882887,True,True,True,False
REM Sleep,0.6380656340197762,True,True,True,False
REM Sleep,0.6984029795063178,True,True,True,False
REM Sleep,0.6287786071083903,True,True,True,False
REM Sleep,0.69645830445795,True,True,True,False
REM Sleep,0.4504109724050729,False,True,False,False
NREM Sleep,0.31472224648853536,False,False,True,False
NREM Sleep,0.35590474211336015,False,False,True,False
NREM Sleep,0.2591847302193791,False,False,True,False
NREM Sleep,0.33041624487794163,False,False,True,False
NREM Sleep,0.30176976111396636,False,False,True,False
NREM Sleep,0.35399159905487776,False,False,True,False
NREM Sleep,0.2461776707297726,False,False,True,False
NREM Sleep,0.24509203298012328,False,False,True,False
NREM Sleep,0.2604525272338225,False,False,True,False
NREM Sleep,0.26952676694492206,False,False,True,False
NREM Sleep,0.2589141145853344,False,False,True,False
NREM Sleep,0.34335471979350907,False,False,True,False
NREM Sleep,0.499655069482601,False,False,True,False
NREM Sleep,0.4185569109843835,False,False,True,False
NREM Sleep,0.22139543174979234,False,False,True,False
NREM Sleep,0.45085106245568035,False,False,True,False
Light Sedation,0.5731455408275402,True,True,True,False
Light Sedation,0.5107877312951788,True,True,True,False
Light Sedation,0.43091854769682814,False,True,False,False
Light Sedation,0.6490894650468031,True,True,True,False
Light Sedation,0.4423820136109216,False,True,False,False
Light Sedation,0.49335432949191604,False,True,False,False
Light Sedation,0.6543928058220273,True,True,True,False
Light Sedation,0.5455153400939385,True,True,True,False
Light Sedation,0.5782346547259934,True,True,True,False
Light Sedation,0.5201240644168047,True,True,True,False
Light Sedation,0.5077382320037164,True,True,True,False
Light Sedation,0.5303520607808628,True,True,True,False
Light Sedation,0.6273145234103203,True,True,True,False
Light Sedation,0.5233491549021316,True,True,True,False
Light Sedation,0.5732709972584104,True,True,True,False
Light Sedation,0.41782121946947287,False,True,False,False
Deep Anesthesia,0.3225419846110552,False,False,True,False
Deep Anesthesia,0.30936178110133583,False,False,True,False
Deep Anesthesia,0.29088443060508,False,False,True,False
Deep Anesthesia,0.37654841864367017,False,False,True,False
Deep Anesthesia,0.401215806514401,False,False,True,False
Deep Anesthesia,0.3653083434010723,False,False,True,False
Deep Anesthesia,0.2936895427361657,False,False,True,False
Deep Anesthesia,0.3000638521752014,False,False,True,False
Deep Anesthesia,0.29981815324156835,False,False,True,False
Deep Anesthesia,0.3559882483250581,False,False,True,False
Deep Anesthesia,0.20103786360081163,False,False,True,False
Deep Anesthesia,0.15126042542326512,False,False,True,False
Deep Anesthesia,0.3713737162548709,False,False,True,False
Deep Anesthesia,0.1602138947940277,False,False,True,False
Deep Anesthesia,0.11539581193365916,False,False,True,False
Deep Anesthesia,0.39921112765201844,False,False,True,False
